"ticker,beta,g,price"
"AAL,1.1847733259201,11.525,34.37"
"AAPL,1.01625192165374,8.275,203.86"
"ADBE,1.10569489002227,17.12,270.57"
"ADI,1.04550337791442,11.975,114.79"
"ADP,1.02953195571899,13.5,162.44"
"ADSK,1.27970647811889,60.737,169.2"
"ALGN,1.64180743694305,20.793,281.49"
"ALXN,1.42539238929748,16.38,126.01"
"AMAT,1.32021450996398,9.23,43.95"
"AMD,1.62490916252136,12.5,27.68"
"AMGN,1.16647839546203,5.14,177.47"
"AMZN,1.27699875831604,37.374,1861.69"
"ASML,1.16535055637359,18.966,205.91"
"ATVI,0.822726011276245,6.648,45.31"
"AVGO,0.909795045852661,13.362,318.62"
"BIDU,1.24015724658966,9.75,171.02"
"BIIB,1.2897560596466,4.633,226.39"
"BKNG,1.07598972320556,12.5,1844.31"
"BMRN,1.20923781394958,81.84,83.16"
"CDNS,0.982614278793334,10.35,63.37"
"CELG,1.25113677978515,19.07,93.76"
"CERN,1.15851712226867,13.63,62.71"
"CHKP,0.882835149765014,7.75,119.99"
"CHTR,1.10067856311798,43.115,359.37"
"CMCSA,0.996924936771392,11.44,42.43"
"COST,0.89286869764328,10.09,245.81"
"CSCO,1.11053109169006,7.15,56.4"
"CSX,1.10457909107208,8.808,78.97"
"CTAS,1.08135211467742,12.12,213.68"
"CTRP,0.863278806209564,30.4,44.43"
"CTSH,0.94400554895401,11.4,71.34"
"CTXS,0.927099525928497,11.85,100.11"
"DLTR,0.581456899642944,9.408,108.67"
"EA,0.79089206457138,11.867,93.14"
"EBAY,0.97494637966156,10.672,35.98"
"EXPE,1.0830864906311,17.2,124.51"
"FAST,1.09624099731445,14.7,71.08"
"FB,1.15104532241821,22.053,178.28"
"FISV,0.864260494709014,10.55,85.06"
"FOX,#N/A N/A,#N/A N/A,37.92"
"FOXA,#N/A N/A,0.79,38.44"
"GILD,1.07381319999694,6.675,62.95"
"GOOG,1.14062273502349,15.055,1236.37"
"GOOGL,1.13140845298767,15.055,1241.47"
"HAS,0.704895615577697,10.85,88.78"
"HSIC,0.941494464874267,4.768,61.5"
"IDXX,1.09850406646728,16.24,218.49"
"ILMN,1.39587604999542,23.66,319.03"
"INCY,1.1897587776184,44.36,73.96"
"INTC,1.04260170459747,8.54,58.49"
"INTU,1.18261766433715,16.03,257.77"
"ISRG,1.29793846607208,12.09,528.06"
"JBHT,0.881066977977752,13.125,97.21"
"JD,1.23364543914794,76.63,30.01"
"KHC,0.829383373260498,2.438,32.96"
"KLAC,1.16798627376556,8.583,124.2"
"LBTYA,0.951338052749633,#N/A N/A,27.58"
"LBTYK,0.940619349479675,#N/A N/A,26.66"
"LRCX,1.37753808498382,-0.415,194.77"
"LULU,1.10212326049804,20.756,173.31"
"MAR,0.857076823711395,10.81,134.41"
"MCHP,1.11637389659881,12.39,98.71"
"MDLZ,0.832514941692352,6.886,50.09"
"MELI,1.46331012248992,64.06,492"
"MNST,1.05002915859222,14.35,55.2"
"MSFT,1.04822611808776,11.678,123.37"
"MU,1.43731617927551,-3.7,43.4"
"MXIM,1.03816604614257,8.933,59.77"
"MYL,1.35825228691101,4.858,26.85"
"NFLX,1.48638200759887,31.933,360.35"
"NTAP,1.24913132190704,13.23,77.69"
"NTES,0.856845319271087,4.135,266.01"
"NVDA,1.57543659210205,9.643,186.3"
"NXPI,0.93663215637207,13.6,100.59"
"ORLY,0.847053408622741,12.4,399.46"
"PAYX,0.954579532146453,8.767,81.59"
"PCAR,1.0913381576538,5.9,71.44"
"PEP,#N/A N/A,5.387,127.09"
"PYPL,1.19668185710906,22.91,107.36"
"QCOM,0.90655368566513,11.707,79.89"
"REGN,1.09177112579345,13.183,333.34"
"ROST,0.981705546379089,10.375,100"
"SBUX,0.806986927986145,13.043,76.06"
"SIRI,0.909660816192626,14.36,6.04"
"SNPS,1.09472393989562,14.5,115.98"
"SWKS,0.83181494474411,8.868,90"
"SYMC,1.00256145000457,7.5,24.4"
"TMUS,0.908825159072875,12.55,73.75"
"TSLA,0.764575004577636,35,273.26"
"TTWO,0.869163215160369,10.3,90.74"
"TXN,1.05386435985565,9.7,115.51"
"UAL,#N/A N/A,13.805,88.28"
"ULTA,0.901310443878173,21.2,350.88"
"VRSK,0.879886031150817,9.567,137.99"
"VRSN,1.00558710098266,8.8,186.65"
"VRTX,1.23674416542053,45.288,168.16"
"WBA,0.990444660186767,6.85,54.63"
"WDAY,#N/A N/A,34.5,187.83"
"WDC,1.2347217798233,2.718,55.39"
"WLTW,0.928930342197418,13.967,177.37"
"WYNN,1.11810588836669,23.467,142.44"
"XEL,#N/A N/A,5.788,54.68"
"XLNX,0.991684257984161,13.9,134.95"
